Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
P1,27/02/2021,15:30,Famalicao,Farense,0,0,D,0,0,D,11,10,3,1,18,17,5,4,2,6,0,1,2.14,1.69
P1,27/02/2021,20:30,Porto,Sp Lisbon,0,0,D,0,0,D,14,4,3,0,20,16,3,1,1,2,0,0,2.22,1.66
P1,27/02/2021,18:00,Santa Clara,Pacos Ferreira,3,0,H,2,0,H,7,17,4,4,11,10,2,13,1,0,0,0,2.47,1.53
P1,28/02/2021,15:00,Portimonense,Maritimo,0,0,D,0,0,D,7,11,1,4,22,11,6,4,1,2,0,0,2.38,1.57
P1,28/02/2021,20:00,Nacional,Sp Braga,1,2,A,0,2,A,8,15,2,4,7,11,2,5,1,0,0,0,1.89,1.89
P1,28/02/2021,17:30,Tondela,Gil Vicente,1,0,H,1,0,H,16,13,6,2,13,10,6,8,1,0,0,1,2.44,1.54
P1,01/03/2021,20:15,Moreirense,Belenenses,2,2,D,2,1,H,11,13,5,5,14,12,4,5,3,2,0,0,2.53,1.51
P1,01/03/2021,19:00,Benfica,Rio Ave,2,0,H,0,0,D,17,11,6,5,17,10,6,6,1,0,0,0,1.78,2.02
P1,05/03/2021,20:45,Sp Lisbon,Santa Clara,2,1,H,1,0,H,6,6,4,2,18,24,4,8,1,2,0,0,2.04,1.76
P1,05/03/2021,18:30,Pacos Ferreira,Nacional,2,1,H,2,0,H,12,10,3,4,20,18,5,4,3,4,0,0,2.3,1.61
