Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-04-10,14:00,Monaco,Troyes,2,1,H,1,1,D,11,8,3,1,12,9,10,1,2,2,0,0,1.77,2.07
F1,2022-04-10,18:00,Strasbourg,Lyon,1,1,D,1,0,H,15,13,4,3,19,14,5,3,3,1,0,0,1.87,1.95
F1,2022-04-10,16:05,Lens,Nice,3,0,H,0,0,D,6,16,3,6,8,15,1,7,2,4,1,2,2.01,1.82
F1,2022-04-10,12:00,Bordeaux,Metz,3,1,H,0,1,A,12,9,7,2,15,15,5,6,3,2,0,0,2.16,1.71
F1,2022-04-10,14:00,Brest,Nantes,1,1,D,0,1,A,12,12,6,5,10,13,4,5,1,3,0,0,2.18,1.69
F1,2022-04-10,20:00,Marseille,Montpellier,2,0,H,2,0,H,11,6,5,2,12,13,0,8,0,2,0,1,1.77,2.07
F1,2022-04-10,14:00,Angers,Lille,1,1,D,0,0,D,13,17,3,3,10,12,6,7,3,2,0,0,2.36,1.6
F1,2022-04-15,20:00,Rennes,Monaco,2,3,A,1,1,D,13,12,4,4,7,15,6,0,1,3,0,0,1.82,2.01
F1,2022-04-16,16:00,St Etienne,Brest,2,1,H,2,1,H,11,7,4,3,10,10,7,3,0,2,0,0,2.09,1.75
F1,2022-04-16,20:00,Lille,Lens,1,2,A,1,2,A,17,11,5,7,12,9,13,7,3,2,0,0,2.03,1.8
F1,2022-04-17,14:00,Troyes,Strasbourg,1,1,D,0,0,D,11,12,3,4,12,19,5,9,1,2,0,0,2.18,1.69
F1,2022-04-17,16:05,Lyon,Bordeaux,6,1,H,3,0,H,15,17,9,5,8,13,3,5,0,0,0,0,1.47,2.68
F1,2022-04-17,14:00,Nantes,Angers,1,1,D,0,1,A,24,10,7,3,12,10,14,5,4,1,0,0,2.21,1.67
F1,2022-04-17,19:45,Paris SG,Marseille,2,1,H,2,1,H,7,3,3,1,16,12,3,4,6,1,0,0,1.43,2.79
